Orthogroup	Capsella_rubella	Brassica_rapa
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p	Bra014726, Bra031447, Bra008247
OG0000053	Carub.0005s0961.1.p, Carub.0006s1950.1.p	Bra012037, Bra019453
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	Bra025438
OG0000053	Carub.0007s2756.1.p	Bra039723
OG0000053	Carub.0003s2306.1.p	Bra023786, Bra033898
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	Bra007269
OG0000054	Carub.0001s1178.1.p	Bra019742, Bra016791
OG0000054	Carub.0002s0247.1.p	Bra034519, Bra027039
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	Bra000777, Bra000778
OG0000054	Carub.0004s2780.1.p	Bra000377
OG0000054	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p	Bra039079, Bra039078
OG0000054	Carub.0006s3172.1.p	Bra029458
OG0000057	Carub.0008s1787.1.p	Bra020447, Bra002733
OG0000057	Carub.0001s1701.1.p	Bra016610
OG0000057	Carub.0005s2708.1.p	Bra007524, Bra014496
OG0000057	Carub.0008s2342.1.p	Bra029249
OG0000057	Carub.0002s2690.1.p	Bra003576, Bra035163
OG0000057	Carub.0016s0001.1.p	Bra008288
OG0000057	Carub.0013s0011.1.p	Bra013168
OG0000057	Carub.0007s1042.1.p	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101
OG0000057	Carub.0003s3319.1.p	Bra038835, Bra024452
OG0000059	Carub.0099s0002.1.p, Carub.0006s2597.1.p, Carub.0011s0002.1.p	Bra015818, Bra010300, Bra017886, Bra036742, Bra025006, Bra031176, Bra025815, Bra008239, Bra014053
OG0000059	Carub.0007s3076.1.p, Carub.0003s1040.1.p, Carub.0002s0948.1.p, Carub.0006s2645.1.p, Carub.0006s2648.1.p, Carub.0008s2840.1.p, Carub.0002s1040.1.p, Carub.0007s3075.1.p, Carub.0001s4113.1.p, Carub.0003s0398.1.p, Carub.0004s0663.1.p, Carub.0007s3079.1.p, Carub.0001s3710.1.p, Carub.0007s3086.1.p, Carub.0005s0910.1.p	Bra039933, Bra012195, Bra017607, Bra003113, Bra002532, Bra035465, Bra024361, Bra031911, Bra008118, Bra005295, Bra012400, Bra013008, Bra031837, Bra012242, Bra010197, Bra025809
OG0000060	Carub.0006s2066.1.p	Bra006685, Bra006639, Bra002436
OG0000060	Carub.0005s2023.1.p	Bra003150
OG0000060	Carub.0008s2052.1.p, Carub.0005s1183.1.p, Carub.0005s1189.1.p	Bra020275, Bra002520
OG0000061	Carub.0002s0328.1.p, Carub.0007s3755.1.p, Carub.0007s3756.1.p, Carub.0007s3751.1.p, Carub.0005s1237.1.p, Carub.0001s3826.1.p, Carub.0002s0647.1.p	Bra000815
OG0000062	Carub.0003s2005.1.p	Bra035813
OG0000062	Carub.0003s2001.1.p, Carub.0003s2002.1.p	Bra025472, Bra001775
OG0000062	Carub.0004s0748.1.p, Carub.0004s0749.1.p	Bra027515, Bra030126
OG0000062	Carub.0003s2000.1.p	Bra035814
OG0000062	Carub.0005s0773.1.p	Bra014143, Bra039930
OG0000062	Carub.0003s2669.1.p	Bra038254
OG0000064	Carub.0003s3462.1.p	Bra036460, Bra036688
OG0000064	Carub.0007s1193.1.p	Bra011053
OG0000064	Carub.0008s0469.1.p	Bra033704
OG0000064	Carub.0001s0331.1.p	Bra032526
OG0000064	Carub.0004s1320.1.p	Bra022871
OG0000064	Carub.0001s1734.1.p	Bra030993
OG0000064	Carub.0006s1882.1.p	Bra006561, Bra020105
OG0000064	Carub.0005s2501.1.p	Bra014582, Bra003324
OG0000064	Carub.0002s0909.1.p	Bra027968
OG0000064	Carub.0001s0808.1.p	Bra030739, Bra018605
OG0000065	Carub.0002s2263.1.p	Bra015815
OG0000065	Carub.0008s0413.1.p	Bra033737, Bra039506, Bra027544
OG0000065	Carub.0007s2054.1.p	Bra020912, Bra013481, Bra038795
OG0000065	Carub.0006s1076.1.p	Bra008903
OG0000065	Carub.0006s2158.1.p	Bra009710
OG0000065	Carub.0004s1060.1.p	Bra018379, Bra039987
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	Bra018184, Bra033796
OG0000066	Carub.0003s3340.1.p, Carub.0006s3079.1.p, Carub.0006s2997.1.p	Bra012766
OG0000066	Carub.0003s1935.1.p, Carub.0003s1934.1.p	Bra012391
OG0000066	Carub.0001s2342.1.p	Bra012394, Bra012395, Bra012392
OG0000068	Carub.0001s3799.1.p	Bra025795
OG0000068	Carub.0002s2286.1.p	Bra015801, Bra008231, Bra003735
OG0000068	Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	Bra014519
OG0000069	Carub.0005s1176.1.p, Carub.0005s2031.1.p, Carub.0005s1217.1.p, Carub.0001s0700.1.p, Carub.0001s0717.1.p, Carub.0004s0975.1.p, Carub.0008s2033.1.p	Bra000006
OG0000070	Carub.0007s0072.1.p	Bra011889, Bra033581
OG0000070	Carub.0004s0025.1.p	Bra031171
OG0000070	Carub.0003s3215.1.p	Bra037243, Bra039909, Bra024482
OG0000070	Carub.0007s0412.1.p	Bra010501, Bra017747, Bra011662
OG0000070	Carub.0002s2243.1.p	Bra003746, Bra015832
OG0000070	Carub.0001s1934.1.p	Bra025770
OG0000070	Carub.0003s3033.1.p	Bra013061
OG0000070	Carub.0007s0553.1.p	Bra011560
OG0000071	Carub.0004s1101.1.p, Carub.0004s1100.1.p	Bra000470
OG0000071	Carub.0001s3703.1.p	Bra002161
OG0000072	Carub.0003s3077.1.p, Carub.0008s0706.1.p	Bra002449
OG0000073	Carub.0001s3395.1.p	Bra023819
OG0000074	Carub.0008s1976.1.p	Bra002592
OG0000074	Carub.0005s1307.1.p	Bra018188
OG0000074	Carub.0008s1982.1.p	Bra006729
OG0000074	Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351
OG0000074	Carub.0008s1985.1.p, Carub.0008s1983.1.p	Bra006728, Bra002586
OG0000077	Carub.0004s1453.1.p	Bra022907, Bra005530
OG0000078	Carub.0001s1962.1.p	Bra016477, Bra012210
OG0000078	Carub.0002s2275.1.p	Bra015807
OG0000078	Carub.0007s0529.1.p	Bra011578, Bra001994
OG0000078	Carub.0008s0195.1.p	Bra025045
OG0000078	Carub.0007s0427.1.p	Bra037248, Bra002093, Bra040869
OG0000078	Carub.0003s3195.1.p	Bra011651, Bra017740
OG0000078	Carub.0005s1767.1.p	Bra038892, Bra036819, Bra012858
OG0000079	Carub.0007s0816.1.p	Bra023952, Bra011345
OG0000079	Carub.0003s1011.1.p	Bra029874
OG0000079	Carub.0006s0410.1.p	Bra005845, Bra028768
OG0000079	Carub.0008s0451.1.p	Bra033714
OG0000079	Carub.0006s1564.1.p	Bra006407
OG0000079	Carub.0007s0125.1.p	Bra011865
OG0000079	Carub.0006s0830.1.p	Bra006036
OG0000080	Carub.0008s1461.1.p	Bra010650
OG0000080	Carub.0001s2878.1.p	Bra002990, Bra024630
OG0000083	Carub.0007s1566.1.p	Bra010468
OG0000083	Carub.0001s2429.1.p, Carub.0001s3299.1.p	Bra016284, Bra024691
OG0000083	Carub.0001s1373.1.p	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690
OG0000083	Carub.0005s0217.1.p	Bra017393
OG0000083	Carub.0005s0218.1.p	Bra024783, Bra024782
OG0000083	Carub.0005s0216.1.p	Bra017394, Bra017395, Bra026565, Bra024784
OG0000084	Carub.0008s1348.1.p	Bra029076, Bra022645
OG0000084	Carub.0002s0056.1.p	Bra027688, Bra027749
OG0000084	Carub.0003s3054.1.p	Bra013049, Bra001995
OG0000084	Carub.0008s1647.1.p	Bra002842
OG0000084	Carub.0003s0782.1.p	Bra001347, Bra041101
OG0000085	Carub.0007s0781.1.p	Bra024078, Bra023947
OG0000085	Carub.0008s0420.1.p, Carub.0008s0416.1.p	Bra024195
OG0000085	Carub.0007s3566.1.p, Carub.0007s3567.1.p	Bra027451
OG0000086	Carub.0007s1539.1.p	Bra013901, Bra019151, Bra010456
OG0000086	Carub.0008s1247.1.p	Bra028304, Bra029119
OG0000086	Carub.0001s0046.1.p	Bra033236
OG0000086	Carub.0008s2054.1.p	Bra006686
OG0000086	Carub.0008s2056.1.p	Bra006687, Bra002522, Bra020277
OG0000086	Carub.0005s1186.1.p	Bra038266
OG0000088	Carub.0005s1126.1.p	Bra038286
OG0000088	Carub.0008s2102.1.p	Bra002490, Bra020258
OG0000088	Carub.0008s2101.1.p	Bra006669, Bra002497
OG0000088	Carub.0008s2099.1.p	Bra020259, Bra002500, Bra002499, Bra006670
OG0000088	Carub.0008s2100.1.p	Bra002498
OG0000088	Carub.0005s1127.1.p	Bra019469
OG0000088	Carub.0005s1125.1.p	Bra038287, Bra002064
OG0000088	Carub.0005s1121.1.p	Bra029544, Bra038289
OG0000088	Carub.0008s2103.1.p	Bra006666, Bra006668
OG0000090	Carub.0004s1037.1.p	Bra018400
OG0000090	Carub.0004s1184.1.p, Carub.0004s1182.1.p	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396
OG0000090	Carub.0004s1036.1.p	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477
OG0000090	Carub.0004s1035.1.p, Carub.0004s1034.1.p	Bra039514, Bra000476, Bra018401, Bra018402, Bra018405, Bra018404
OG0000094	Carub.0002s0372.1.p	Bra027084, Bra031429
OG0000094	Carub.0002s0374.1.p, Carub.0002s0375.1.p	Bra027087, Bra031433
OG0000094	Carub.0002s0379.1.p	Bra027088
OG0000094	Carub.0002s0380.1.p	Bra031434
OG0000095	Carub.0007s1745.1.p, Carub.0007s1744.1.p	Bra013721, Bra034099
OG0000095	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p	Bra019280, Bra019278
OG0000095	Carub.0001s1473.1.p	Bra026176
OG0000096	Carub.0002s1339.1.p	Bra015930, Bra003729, Bra008137, Bra003816
OG0000096	Carub.0004s0512.1.p, Carub.0004s0515.1.p, Carub.0004s0513.1.p, Carub.0004s0514.1.p, Carub.0002s0936.1.p	Bra032058, Bra034253
OG0000098	Carub.0002s1323.1.p, Carub.0004s1818.1.p	Bra017241, Bra023065
OG0000098	Carub.0004s0741.1.p	Bra034314
OG0000098	Carub.0005s0873.1.p	Bra025424
OG0000098	Carub.0001s1530.1.p	Bra026124
OG0000098	Carub.0001s1496.1.p	Bra026156, Bra026157, Bra016669
