Orthogroup	Capsella_rubella	Thellungiella_parvula
OG0000098	Carub.0002s0539.1.p	Sp5g36020.1
OG0000098	Carub.0003s1609.1.p	Sp3g14720.1
OG0000099	Carub.0006s1284.1.p	Sp6g29370.1
OG0000099	Carub.0005s2901.1.p	Sp5g01100.1
OG0000099	Carub.0005s2901.1.p	Sp4g29160.1
OG0000099	Carub.0004s2991.1.p	Sp5g01100.1
OG0000099	Carub.0004s2991.1.p	Sp4g29160.1
OG0000099	Carub.0001s1010.1.p	Sp1g09310.1, Sp2g04250.1
OG0000103	Carub.0006s2928.1.p, Carub.0006s2927.1.p, Carub.0006s2929.1.p	Sp6g06900.1
OG0000103	Carub.0006s2931.1.p, Carub.0006s2925.1.p, Carub.0006s2932.1.p	Sp6g06870.1
OG0000103	Carub.0001s3127.1.p	Sp1g28050.1
OG0000103	Carub.0001s3126.1.p	Sp1g28060.1
OG0000103	Carub.0001s3128.1.p	Sp1g28020.1
OG0000104	Carub.0004s2425.1.p	Sp4g24190.1
OG0000104	Carub.0006s1060.1.p	Sp1g33950.1
OG0000104	Carub.0006s2504.1.p	Sp6g31530.1
OG0000104	Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p	Sp5g13700.1, Sp4g24500.1
OG0000106	Carub.0002s1057.1.p, Carub.0002s1060.1.p	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1
OG0000106	Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p	Sp2g25130.1
OG0000108	Carub.0005s2130.1.p	Sp5g07750.1
OG0000108	Carub.0004s2097.1.p	Sp4g21310.1
OG0000109	Carub.0001s3978.1.p	Sp1g37590.1
OG0000110	Carub.0005s0364.1.p	Sp2g15055.1, Sp2g15060.1
OG0000113	Carub.0005s2596.1.p, Carub.0005s2575.1.p	Sp5g11010.1
OG0000113	Carub.0003s3283.1.p, Carub.0006s3253.1.p	Sp5g11020.1
OG0000114	Carub.0007s2614.1.p, Carub.0007s2612.1.p	Sp7g13960.1
OG0000114	Carub.0007s2611.1.p	Sp7g13930.1
OG0000115	Carub.0006s1597.1.p, Carub.0006s1598.1.p, Carub.0006s1599.1.p	Sp6g26490.1
OG0000115	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p	Sp3g31620.1
OG0000115	Carub.0005s1733.1.p	Sp5g11270.1
OG0000115	Carub.0005s1732.1.p	Sp5g11280.1
OG0000116	Carub.0008s2108.1.p	Sp1g31050.1, Sp1g31170.1
OG0000116	Carub.0006s2323.1.p	Sp2g22120.1
OG0000116	Carub.0006s0122.1.p, Carub.0006s0397.1.p	Sp6g39360.1
OG0000117	Carub.0004s2597.1.p	Sp4g25600.1
OG0000117	Carub.0004s2598.1.p	Sp3g24100.1
OG0000118	Carub.0007s3605.1.p	Sp7g03745.1
OG0000119	Carub.0004s1931.1.p	Sp1g31660.1
OG0000120	Carub.0001s0085.1.p	Sp1g00910.1
OG0000120	Carub.0006s3612.1.p	Sp6g01080.1
OG0000120	Carub.0008s1340.1.p	Sp6g15380.1
OG0000120	Carub.0004s2911.1.p	Sp4g28430.1
OG0000121	Carub.0002s2274.1.p	Sp5g30950.1
OG0000123	Carub.0005s2737.1.p	Sp5g02600.1
